title,type,release_date,label,producer,artists,lyrics,composers,arrangers,tracklist
Zettai☆Aishiteru!, Single,23/12/2015,ZEN MUSIC,Universal Music Japan (2),MAG!C☆PRINCE,,,,
Zettai! I LOVE YOU / LAST † PRAY [Limited Edition / Type B], Single,13/07/2011,ZAIN RECORDS,Being,BREAKERZ,,,,
Zettai! Part2, Single,24/10/1990,PONY CANYON,PONY CANYON,Hayasaka Yoshie,,,,
Zhi Yao He Ni Zai Yi Qi, Album,09/01/2009,,,Eric Suen,,,,
Zhi Xu Yao Yi Shou Ge (feat) Fan Fan, Single,10/2009,,,Jennifer Li (chanteuse),,,,
Zhi Xiang Chang Zhe Shou Ge Gei Ni Ting, Digital Single,16/04/2012,Ocean Butterflies International,,Ben Xi,,,,
Zhi Wo Men Chong Bai De Ou Xiang, Album,01/06/2013,Virgos Studio,,Virgos,,,,
Zhi Shi Huai Jiu Bu Suan Huai Nian, Digital Single,16/11/2014,EE-Media,,Well Lee,,,,
Zhi Shi, Album,21/08/2013,Huayin Century,,Li Zi Mo,,,,
Zhi Qin Ai De Nu Hai, Album,03/08/2012,Fresh Music Store,,Kiki Hu,,,,
Zhi Fei Ji, Digital Single,27/06/2016,Guangzhou Han Ju Media,,1931,,,,
Zhi Dao Yu Jian Ni, Digital Single,26/01/2016,Huayi Brothers,,Vanessa Kim,,,,
Zhi Ai Your Song, Digital Single,21/09/2015,Rock Forward Entertainment,Rock Forward Entertainment,Lu Han,,,,
Zhi Ai Qing Ge, Album,31/12/2009,Universal Music China,,Yang Yang (C-Pop),,,,
Zhi Ai, Album,14/03/2014,East Asia Music,,Aarif Rahman,,,,
Zhi, Digital Mini-Album,01/12/2020,TF Entertainment,,TNT (C-Pop),,,,
Zheng Zheng Liang Nian Liao, Digital Single,08/12/2017,WAJIJIWA Entertainment,,"Victor Ma,Zhou Zhen Nan",,,,
Zheng Zha, Album,26/03/1999,Huayi Brothers,,Irene Wan,,,,
Zheng Jiu Shi Jie, Album,28/03/2008,Universal Music Taiwan,,831,,,,
Zheng Hao, Digital Single,09/05/2012,,,Joey Yung,,,,
Zinnia, Single,06/06/2015,,,the Night Breeze Zinnia,,,,
Zim Leng, Album,30/03/2012,Go East Entertainment,,Kelvin Kwan,,,,
zillamode 3 with Eddy Pauer, Digital Mini-Album,18/05/2018,YOUNG THUGS CLUB,Luminant Entertainment,ZENE THE ZILLA,,,,
zillamode 2 with Playoungstic, Digital Mini-Album,16/04/2018,YOUNG THUGS CLUB,Luminant Entertainment,ZENE THE ZILLA,,,,
zillamode 1, Digital Mini-Album,16/03/2018,YOUNG THUGS CLUB,Luminant Entertainment,ZENE THE ZILLA,,,,
ZIL/GET LOST, Single,16/09/2010,,,Vacchus,,,,
ZIGZAG, Digital Single,26/02/2019,C9 Entertainment,Kakao M,Juniel,,,,
Ziggy wa kiseki ni oborenai, Single,09/12/2006,,,BABYLON (groupe),,,,
ZIGAEXPERIENTIA [Limited Edition / Type B], Album,27/11/2013,Sony Records,Sony Music Entertainment Japan,supercell,ryo [supercell],,"Crusher Kimura,ryo [supercell]",
ZIGAEXPERIENTIA [Limited Edition / Type A], Album,27/11/2013,Sony Records,Sony Music Entertainment Japan,supercell,ryo [supercell],,"Crusher Kimura,ryo [supercell]",
ZIGAEXPERIENTIA, Album,27/11/2013,Sony Records,Sony Music Entertainment Japan,supercell,ryo [supercell],,"Crusher Kimura,ryo [supercell]",
ZIG ZAG [Limited Edition], Mini-Album,04/03/2020,ELA MUSIC,JVCKENWOOD Victor Entertainment,Kimura Kaela,Kimura Kaela,"Okuda Tamio,SUEMITSU & THE SUEMITH","Avengers in sci-fi,Okuda Tamio,SUEMITSU & THE SUEMITH",
ZIG ZAG [Complete Limited Edition], Mini-Album,04/03/2020,ELA MUSIC,JVCKENWOOD Victor Entertainment,Kimura Kaela,,,,
ZIG ZAG, Mini-Album,04/03/2020,ELA MUSIC,JVCKENWOOD Victor Entertainment,Kimura Kaela,,,,
ZICO SPECIAL EDITION, Album,28/01/2016,Seven Seasons,CJ E&M,Zico,"Don Mills,Ja Mezz,JTONG,PENOMECO,The Quiett,Zico,Zion.T","Peejay,Pop Time,Zico","Peejay,Pop Time,Zico",
ZICO on the BLOCK 1.5, Mixtape,17/10/2012,Stardom Entertainment,,Zico,Zico,,,
ZICO on the Block, Mixtape,19/11/2010,,,Zico,Zico,,,
Zi You Zi Zai, Digital Single,16/12/2013,Peacock Records,,Phoenix Legend,,,,
ZOMBIE, Digital Single,04/04/2019,Green Wave,,"Double K,V-HAWK",,,,
Zoltax, Album,27/04/2016,nouveau parfum,,the LOTUS (Japon),,,,
Zoltank, Album,05/05/2010,avex trax,,Aural Vampire,,,,
ZOLLA, Digital Single,12/09/2018,AAP,Warner Music Korea,fla4free,,,,
"Zoku, Tsumetai Ame", Single,11/02/2010,,,cali≠gari,,,,
"Zoku, Mizonokuchi Taiyou Zoku", Single,25/11/2009,Victor Entertainment (1972),,manzo,,,,
Zoku・on and on and on, Digital Mini-Album,07/11/2017,avex trax,,SEAMO,,,,
Zoku・Kaeru-kun no Bouken, Digital Single,07/04/2021,studio NUI,Sony Music Labels,Necry Talkie,,,,
Zoku Kou Utau, Cover Album,20/07/2016,Colourful Records,Victor Entertainment (1972),Shibasaki Kou,,,,
Zoku Korobanu Saki no Tsue, DVD,17/12/2003,"Ki/oon Records, Inc.",Sony Music Entertainment Japan,Magokoro Brothers,,,,
Zoku Konton, Single,05/06/2013,Sony Records,Sony Music Entertainment Japan,Nakagawa Shoko,"Iwasato Yuho,meg rock","Kurosu Katsuhiko,Shiraishi Satori","Kurosu Katsuhiko,Shiraishi Satori",
Zoku, Single,01/09/2004,Toshiba EMI,,Kishidan,,,,
ZOKU, Album,12/03/2008,,,Ordermade,,,,
Zokkondition / LUCKY☆STAR, Single,07/04/2010,avex trax,,Otsuka Ai,Otsuka Ai,,"Ikoman,Otsuka Ai",
Zokkon! Penko-san [CD+DVD], Single,21/11/2012,,avex Marketing,Kamiya Hiroshi,,,,
Zokkon! Penko-san, Single,21/11/2012,,avex Marketing,Kamiya Hiroshi,,,,
Zombie Crush HEYRI OST, Digital Single,16/06/2021,GATE6,VLENDING,"Gong Min Jeong,Lee Min Ji (1988),So Jin [Girl's Day]",,,,
zoozoosea [Limited Edition], Mini-Album,19/09/2018,avex trax,avex Entertainment (1),PEDRO,,,,
zoozoosea, Mini-Album,18/09/2018,avex trax,avex Entertainment (1),PEDRO,,,,
"ZOOtto, ne♪ [CD+DVD]", Single,19/09/2012,,avex Marketing,Konishi Katsuyuki,,,,
"ZOOtto, ne♪", Single,19/09/2012,,avex Marketing,Konishi Katsuyuki,,,,
ZooRock, Single,18/03/2011,,,SIMON,,,,
ZOORECA, Album,19/03/2014,STONESHIP,KT music,Wutan,,,,
ZOOMANITY, Album,15/09/2010,Victor Entertainment (1972),,a flood of circle,,,,
ZOOM ZOOM FREESTYLE, Mixtape,15/02/2019,,,hu57la,,,,
Zoom Up★, Digital Single,26/10/2017,Being,Being,Ohguro Maki,,,,
ZOOM [VOICE Edition], Single,23/06/2021,Warner Music Japan,Warner Music Japan,CNBLUE,,,,
ZOOM [Limited Edition / Type B], Single,23/06/2021,Warner Music Japan,Warner Music Japan,CNBLUE,,,,
ZOOM [Limited Edition / Type A], Single,23/06/2021,Warner Music Japan,Warner Music Japan,CNBLUE,,,,
zoom (dani REMIX), Digital Single,09/06/2019,YUMDDA,,YUMDDA,,,,
ZOOM, Single,23/06/2021,Warner Music Japan,Warner Music Japan,CNBLUE,,,,
Zoology-Flower Best, Album,19/12/2006,,,Jazztronik,,,,
ZOOLANDER, Album,12/12/2012,cutting edge,,lecca,"CIMBA,lecca","CIMBA,dee.C,lecca,okaerio,WolfJunk","dee.C,John Fontein,lecca,okaerio,Okawa Tatsuyuki,WolfJunk",
ZOO!! [Limited Edition], Album,29/01/2020,Sony Music Associated Records,Sony Music Labels,Necry Talkie,,,,
ZOO!!, Album,29/01/2020,Sony Music Associated Records,Sony Music Labels,Necry Talkie,,,,
Zutto, Single,23/11/2011,PONY CANYON,,aiko,aiko,,,
Zutto, Single,10/12/2008,avex trax,,JAMOSA,,,,
ZUSHI, Album,16/07/2008,,Universal Music Japan (1),Kimaguren,KUREI [Kimaguren],,GIRA MUNDO,
Zurui yo... / I Wish, Single,11/01/2012,PONY CANYON,,Masuwaka Tsubasa,"Masuwaka Tsubasa,Sato Ema",,meister,
Zurui yo Zurui ne [Type D], Single,30/10/2019,SACRA MUSIC,Sony Music Entertainment Japan,=LOVE,Sashihara Rino,"Kokubo Yuki,Nagano Saori,Nagasawa Chiaki,Tabata Takeshi,YUU for YOU","Furukawa Takahiro,Yuasa Atsushi,YUU for YOU",
Zurui yo Zurui ne [Limited Edition / Type C], Single,30/10/2019,SACRA MUSIC,Sony Music Entertainment Japan,=LOVE,Sashihara Rino,"Nagano Saori,Nagasawa Chiaki",Yuasa Atsushi,
Zurui yo Zurui ne [Limited Edition / Type B], Single,30/10/2019,SACRA MUSIC,Sony Music Entertainment Japan,=LOVE,Sashihara Rino,"Nagano Saori,Nagasawa Chiaki,Tabata Takeshi","Furukawa Takahiro,Yuasa Atsushi",
Zurui yo Zurui ne [Limited Edition / Type A], Single,30/10/2019,SACRA MUSIC,Sony Music Entertainment Japan,=LOVE,Sashihara Rino,"Kokubo Yuki,Nagano Saori,Nagasawa Chiaki,YUU for YOU","Yuasa Atsushi,YUU for YOU",
Zurui Onna, Single,03/05/1995,BMG Victor,,Sharam Q,Tsunku♂,,"Taisei,Tsunku♂",
Zurück zu dir, Digital Single,02/06/2017,Universal Publishing Production Music,,Jannine Weigel,,,,
Zuo Shang Jiao De Ni, Digital Single,23/07/2015,JMXG Entertainment,,Xu Qian Qian,,,,
Zuo Qu Jia, Digital Single,24/03/2014,Linfair Records,,Li Rong Hao,,,,
Zuo Dui, Album,06/08/2012,Universal Music Taiwan,,Shara Lin,,,,
Zuo Ai Zuo De Shi, Album,2001,,,Yu Fei Men,,,,
Zundoko Paradise [Limited Edition / Type B], Single,04/02/2015,Johnny's Entertainment,Sony Music Entertainment Japan,Johnny's WEST,,,,
Zundoko Paradise [Limited Edition / Type A], Single,04/02/2015,Johnny's Entertainment,Sony Music Entertainment Japan,Johnny's WEST,,,,
Zundoko Paradise, Single,04/02/2015,Johnny's Entertainment,Sony Music Entertainment Japan,Johnny's WEST,,,,
Zutto... / Last minute / Walk [Music Card 2], Music Card,24/12/2014,avex trax,,Hamasaki Ayumi,Hamasaki Ayumi,"Komuro Tetsuya,Tago Kunio,Yukumi Tetsuya","Nakano Yuta (compositeur),tasuku",
Zutto... / Last minute / Walk [Music Card 1], Music Card,24/12/2014,avex trax,,Hamasaki Ayumi,Hamasaki Ayumi,"Komuro Tetsuya,Tago Kunio,Yukumi Tetsuya","Nakano Yuta (compositeur),tasuku",
Zutto... / Last minute / Walk [Limited Edition / TeamAyu], Single,24/12/2014,avex trax,,Hamasaki Ayumi,Hamasaki Ayumi,"Komuro Tetsuya,Tago Kunio,Yukumi Tetsuya","Nakano Yuta (compositeur),tasuku",
Zutto... / Last minute / Walk [Itunes Version], Digital Single,24/12/2014,avex trax,avex Entertainment (1),Hamasaki Ayumi,Hamasaki Ayumi,"Komuro Tetsuya,Tago Kunio,Yukumi Tetsuya","Nakano Yuta (compositeur),tasuku",
Zutto... / Last minute / Walk, Single,24/12/2014,avex trax,,Hamasaki Ayumi,Hamasaki Ayumi,"Komuro Tetsuya,Tago Kunio,Yukumi Tetsuya","Nakano Yuta (compositeur),tasuku",
Zutto., Single,02/03/2011,UNIVERSAL J,Universal Music Japan (2),Aoyama Thelma,Aoyama Thelma,"Aoyama Thelma,Erik Lidbom,Shingo.S","Erik Lidbom,Shingo.S",
"Zutto,,,", Digital Single,07/07/2021,Ariola Japan,Sony Music Labels,Harumi,,,,
"Zutto, Futari de [Limited Edition]", Single,26/07/2017,Colourful Records,Victor Entertainment (1972),Ieiri Leo,"Ieiri Leo,Sugiyama Katsuhiko,Tortoise Matsumoto","Ieiri Leo,Sugiyama Katsuhiko,Tortoise Matsumoto","Sugiyama Katsuhiko,Suzuki ""Daichi"" Hideyuki,Yamaguchi Takashi (1977)",
"Zutto, Futari de [Complete Limited Edition]", Single,26/07/2017,Colourful Records,Victor Entertainment (1972),Ieiri Leo,"Ieiri Leo,Sugiyama Katsuhiko,Tortoise Matsumoto","Ieiri Leo,Sugiyama Katsuhiko,Tortoise Matsumoto","Sugiyama Katsuhiko,Suzuki ""Daichi"" Hideyuki,Yamaguchi Takashi (1977)",
"Zutto, Futari de", Single,26/07/2017,Colourful Records,Victor Entertainment (1972),Ieiri Leo,"Ieiri Leo,Sugiyama Katsuhiko,Tortoise Matsumoto","Ieiri Leo,Sugiyama Katsuhiko,Tortoise Matsumoto","Sugiyama Katsuhiko,Suzuki ""Daichi"" Hideyuki,Yamaguchi Takashi (1977)",
ZUTTO ZUuTTO, Single,14/05/1997,avex trax,,Amagata Naomi,,,,
Zutto Zutto..., Single,24/03/2006,,Sony Music Entertainment Japan,TiA (J-Pop),,,,
Zutto Zutto Zutto, Digital Single,04/06/2021,Epic Records Japan,Sony Music Labels,Ryokuoushoku Shakai,,,,
Zutto Zutto Tomodachi [Limited Edition], Single,16/05/2012,,Universal Music Japan (2),Ashida Mana,,,,
zutto zutto ishyou ni itai noni, Single,10/10/2003,,,Under (2003),,,,
Zutto Wasurenai, Single,03/03/1993,Victor Entertainment (1972),Victor Entertainment (1972),SMAP,,,,
Zutto Summer de Koishiteru [Niji Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
ZZZ.., Digital Single,25/05/2017,One Shot Entertainment,Danal Entertainment,S2U,,,,
zzz, Digital Single,22/03/2021,Universal Music Korea,Universal Music Korea,YOUHA (K-Pop),,,,
ZZZ, Mini-Album,15/10/2018,The Black Label,Genie Music,Zion.T,"Dear (parolier),DJ Dopsh,E-Sens,Zion.T","Joe Rhee,Oh Hyuk,Park Jun Woo (compositeur),Peejay,Seo Won Jin,Slom,Yun Seok Cheol (compositeur),Zion.T","Joe Rhee,Park Jun Woo (compositeur),Peejay,Seo Won Jin,Slom,Yun Seok Cheol (compositeur)",
Zzz, Single,25/05/2011,,,Sasaki Sayaka,Hyadain,,Hyadain,
Zzing & Zzan, Digital Single,25/06/2007,Wooju Entertainment,Mnet Media,Cho Hye Lyun,,,,
ZZB, Album,14/12/2005,avex trax,,ZZ,SOTARO [ZZ],,ZZ,
Zzang Christmas, Digital Single,17/12/2013,YNB Entertainment,LOEN Entertainment,BESTie,Yoo Se Yoon,"Crazy Female,Crazy Park","Crazy Female,Crazy Park",
Zza Zza la, Single,19/12/2008,,,Saranyu Winaipanit,,,,
ZZ's, Digital Best Album,31/01/2020,EVIL LINE RECORDS,King Records,Momoiro Clover Z,"Hyadain,Mori Yukinojo,Revo","Hyadain,NARASAKI,Revo","NARASAKI,Revo,Tatsuo [everset],Yuyoyuppe",
ZZ, Album,03/02/2010,,,ZZ PRODUCTION,,,,
Zyuden Sentai Kyoryuger Shudaika [Limited Edition], Single,13/03/2013,NIPPON COLUMBIA (2010),,"Kamata Shogo,Takatori Hideaki","Fujibayashi Shoko,Takatori Hideaki,Yatsude Saburo","Mochida Yusuke,Takatori Hideaki","Kagoshima Hiroaki,Mochida Yusuke,Yamashita Kosuke",
Zyu Ding Jat Go Jan, Digital Single,05/08/2014,Neway Star Music,,Regen Cheung,,,,
Zygomycota, Mini-Album,05/06/2013,,,a crowd of rebellion,,,,
Zxis, Single,08/02/2010,,,Delight (2009),,,,
Zutto... Issho / Makenai ~Ichizu Version~, Single,13/01/2005,avex trax,,Chihara Minori,"Ebine Yuko,Kimoto Keiko","Hatanaka Tsukasa,Makino Nobuhiro","Ando Takahiro,Makino Nobuhiro",
Zutto... / Last minute / Walk [Music Card 3], Music Card,24/12/2014,avex trax,,Hamasaki Ayumi,Hamasaki Ayumi,"Komuro Tetsuya,Tago Kunio,Yukumi Tetsuya","Nakano Yuta (compositeur),tasuku",
Zutto Summer de Koishiteru [Limited Edition / Murasaki Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
Zutto Summer de Koishiteru [Limited Edition / Midori Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
Zutto Summer de Koishiteru [Limited Edition / Ki Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
Zutto Summer de Koishiteru [Limited Edition / Daidai Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
Zutto Summer de Koishiteru [Limited Edition / Ao Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
Zutto Summer de Koishiteru [Limited Edition / Aka Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
Zutto Summer de Koishiteru [Limited Edition / Ai Edition], Single,12/09/2018,King Records,King Records,Niji no Conquistador,,,,
Zutto Suki de Ii Desu ka [Limited Edition], Single,23/02/2005,zetima,Sony Music Distribution Japan,Matsuura Aya,Tsunku♂,"Imai Chihiro (compositeur),Tsunku♂","Konishi Takao,Suzuki ""Daichi"" Hideyuki,Suzuki Shunsuke (compositeur)",
Zutto Suki de Ii Desu ka, Single,23/02/2005,zetima,Sony Music Distribution Japan,Matsuura Aya,Tsunku♂,"Imai Chihiro (compositeur),Tsunku♂","Konishi Takao,Suzuki ""Daichi"" Hideyuki,Suzuki Shunsuke (compositeur)",
Zutto Suki Datta ~ALL MY COVERS~ [CD+DVD], Cover Album,12/03/2014,Sony Music Associated Records,Sony Music Entertainment Japan,Nakashima Mika,"Nakashima Mika,Takano Tatsuyuki","Hakase Taro,Okano Teiichi",Hakase Taro,
Zutto Suki Datta ~ALL MY COVERS~, Cover Album,12/03/2014,Sony Music Associated Records,Sony Music Entertainment Japan,Nakashima Mika,"Nakashima Mika,Takano Tatsuyuki","Hakase Taro,Okano Teiichi",Hakase Taro,
Zutto Soba ni..., Single,15/04/2009,Island Records,Universal Music Japan (2),Metis,,,,
Zutto Mitsumete Itte, Single,14/08/2009,PONY CANYON,,"DJ Uto,EXIT TUNES,Xceon",,,,
Zutto Mae kara Suki Deshita., Album,29/01/2014,,,HoneyWorks,,,,
Zutto Mae Kara [Type B], Single,08/09/2010,avex trax,avex Marketing,French Kiss,Akimoto Yasushi,"Fujimoto Takanori,Ryo [defspiral]","Nonaka ""Masa"" Yuichi,Ryo [defspiral]",
Zutto Mae Kara [Type A], Single,08/09/2010,avex trax,avex Marketing,French Kiss,Akimoto Yasushi,,Ryo [defspiral],
Zutto Mae Kara, Single,08/09/2010,avex trax,avex Marketing,French Kiss,Akimoto Yasushi,,Ryo [defspiral],
Zutto Koko Kara, Single,10/08/2011,avex trax,,JURIAN BEAT CRISIS,,,,
Zutto Kitto Kanau, Digital Single,29/06/2018,Warner Music Japan,Warner Music Japan,chay,,,,
Zutto Kitto, Single,15/08/2012,PONY CANYON,,Hirano Aya,Matsui Goro,,CHiCO,
Zutto Kimi wo Miteiru, Digital Single,08/02/2012,,,Nakamura Ataru,Nakamura Ataru,,,
Zutto Kimi to..., Single,28/09/2011,FAR EASTERN TRIBE RECORDS,Universal Music Japan (2),INFINITY16,,,,
Zutto Itsumo Futari de feat. Momo, Single,14/04/2010,TSUBASA RECORDS,,KUMI,,,,
Zutto Issho sa, Single,12/03/2008,Warner Music Japan,,Yamashita Tatsuro,,,,
Zutto Issho ni..., Digital Single,12/12/2012,plusGROUND,Victor Entertainment (1972),Yamaguchi Lisa,,,,
Zutto issho, Single,27/08/2008,TOY'S FACTORY,,JAY'ED,,,,
Zutto Futari de..., Single,17/05/1995,,,GLAY,,,,
Zutto Futari de, Single,12/08/2009,NAYUTAWAVE RECORDS,Universal Music Japan (2),BENI,"BENI,Fujibayashi Shoko,Yoshino Masataka","BENI,Imai Daisuke,YANAGIMAN,Yoshino Masataka","Imai Daisuke,YANAGIMAN",
Zutto ChamJam, Mini-Album,12/02/2020,PONY CANYON,PONY CANYON,ChamJam,"Hizashi,MIZUE,U [Funta]","Hizashi,Sumida Shinya,Yoshimi Hideki",Yoshimi Hideki,
Zutto Ana wo Horitsuzuketeiru, Single,09/04/2003,"Ki/oon Records, Inc.",Sony Music Entertainment Japan,YO-KING,,,,
Zutto [Sako Tomohisa x Kimi to Boku 2 / Limited Edition], Single,06/06/2012,SME Records,Sony Music Entertainment Japan,Sako Tomohisa,"Ogawa Tomoyuki,Sako Tomohisa",,Mori Sorao,
Zutto [Limited Edition], Single,06/06/2012,SME Records,Sony Music Entertainment Japan,Sako Tomohisa,"Ogawa Tomoyuki,Sako Tomohisa",,Mori Sorao,
Zutto, Single,06/06/2012,SME Records,Sony Music Entertainment Japan,Sako Tomohisa,"Ogawa Tomoyuki,Sako Tomohisa",,Mori Sorao,
Zukkoke Otokomichi [Réédition], Single,01/07/2015,INFINITY RECORDS,Sony Music Entertainment Japan,Kanjani∞,"Arata Mika,MASA (parolier),Shirai Yuhki,Uenaka Joya","Hamada Pierre Yusuke,Kato Yusuke (compositeur),Makaino Koji","Makaino Koji,Shirai Ryomei,Suzuki Masaya (compositeur)",
Zukkoke Otokomichi [Limited Edition], Single,11/04/2007,Imperial Records,TEICHIKU ENTERTAINMENT,Kanjani∞,"MASA (parolier),Uenaka Joya","Hamada Pierre Yusuke,Makaino Koji","Makaino Koji,Shirai Ryomei",
Zukkoke Otokomichi, Single,11/04/2007,Imperial Records,TEICHIKU ENTERTAINMENT,Kanjani∞,"Arata Mika,MASA (parolier),Shirai Yuhki,Uenaka Joya","Hamada Pierre Yusuke,Kato Yusuke (compositeur),Makaino Koji","Makaino Koji,Shirai Ryomei,Suzuki Masaya (compositeur)",
Zukan, Album,21/01/2000,SPEEDSTAR RECORDS,Victor Entertainment (1972),Quruli,,,,
Zui Xuan Min Zu Feng, Album,02/06/2009,,,Phoenix Legend,,,,
Zui Xiang Si, Single,10/10/2008,,,Zhao Ke,,,,
Zui Wan Mei Zhu Jiao, Digital Single,15/05/2018,ATV Music,,Nate Huang,,,,
Zui Ran De Mao Xian, Digital Single,31/05/2019,Yum Music,,Wang Yi Bo,,,,
Zui Miao Xiang, Album,23/07/2007,Universal Music China,,A You Duo,,,,
Zui Meng Qian Chen, Digital Single,19/06/2018,Tencent Video,,Terry Lin,Sun Yu Jing,,Baby Chung,
Zui Mei De Qing Ren Jie, Digital Single,01/01/2010,Bermu Culture,,Nicole He,,,,
Zui Jin Hai Hao Me, Album,18/06/2013,Seed Music,,Niko Sun,,,,
Zui Hou Zui Ai De Ren, Album,04/04/2013,Water Music,,Cao Xi Wen,,,,
Zui Hou De Wei Xiao, Digital Single,27/12/2010,China Record Corporation,,Jiang Xue Er,,,,
Zui Hou De Lian Ren, Digital Single,21/12/2015,T.H Entertainment,,Ji Ke Jun Yi,,,,
Zui Hao De Yuan Lai Shi Zui Jian Dan De, Album,15/06/2012,,,Kenny Bee,,,,
Zui Chu De Zhu Yuan, Mini-Album,24/12/2017,Shanghai Star48 Culture & Media,,SNH48 GROUP,,,,
Zui Ai De Ren, Digital Single,14/03/2016,Universal Music Taiwan,,Nana Lee,,,,
Zui, Album,18/07/2001,Suleputer,,Morikubo Shotaro,"Inoue Nittoku,Morikubo Shotaro","Inoue Nittoku,Morikubo Shotaro",Inoue Nittoku,
Zu Qiu Ying Xiong, Digital Single,29/09/2015,Xian Yin Music,,Meng Meng Da Tian Tuan,,,,
"ZTAO, Diplo&MØ - Stay Open", Digital Single,14/09/2018,Huang Z.Tao Studio,,Z.Tao,,,,
Zsasz, Digital Mini-Album,21/01/2020,,,Zsasz,,,,
Zpop Dream, Digital Single,22/02/2019,Zenith Media Contents,Genie Music,"Z-BOYS,Z-GIRLS,Z-Stars","Andreas Öhrn,eastwest,Jia Yune,Maxine,Okajima Kanata","Abi F Jones,Andreas Öhrn,eastwest,iLLA,Mad Soul Child,Maxine,Okajima Kanata,Yeul","Abi F Jones,Andreas Öhrn,eastwest,Yeul",
Zoy, Album,05/11/2008,YAMAHA MUSIC COMMUNICATIONS,,Sakamoto Miu,,,,
Zouni de Kenkashiten Ja Nee yo, Digital Single,22/12/2017,UP-FRONT WORKS,UP-FRONT WORKS,"Kawamura Ayano,Makino Maria,Miyazaki Yuka",,,,
Zouki no Nozokiana., Mini-Album,10/08/2016,Daiki Sound,,Kuroyuri to Kage,,,,
Zouka ga warau, Single,21/07/2002,,,ACIDMAN,,,,
"Zouho Kaitei Kanzenban ""Band B no Best"" [Limited Edition]", Best Album,28/09/2016,EMI Records,Universal Music Japan (2),Base Ball Bear,Koide Yusuke,,"Base Ball Bear,Tamai Kenji",
"Zouho Kaitei Kanzenban ""Band B no Best""", Best Album,28/09/2016,EMI Records,Universal Music Japan (2),Base Ball Bear,Koide Yusuke,,"Base Ball Bear,Tamai Kenji",
Zou Zau Gang Hou, Digital Single,31/12/2019,Emperor Entertainment Group,,Joey Yung,,,,
Zou Jin Ni De Meng, Digital Single,07/04/2013,EE-Media,,Chris Lee (chanteuse),,,,
Zou Ba Zou Ba, Digital Single,05/01/2016,Power Tong Culture,,Xiao Xiao,,,,
Zopiel, Single,13/08/2008,Free-Will,,Lamina,,,,
Zoo Zoo Zoo, Album,10/10/2007,,,Mix Market,,,,
Zoo & Lennon, Album,17/10/2009,,,0.8 Byou to Shougeki.,,,,
ZOO, Mixtape,13/04/2020,,,CHERRY BOY 17,,,,
ZOO, Digital Mini-Album,23/08/2020,Beautiful Noise,Sony Music Entertainment Korea,Wonstein,,,,
Zôo, Single,31/12/2005,,,THE EIGHT,,,,
ZONE//ALONE, Single,11/07/2012,Lantis,,Chihara Minori,Hata Aki,,Kikuta Daisuke (compositeur),
ZoNE-iT [Limited Edition], Single,05/11/2014,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,KOTOKO,KOTOKO,"Kon-K,Saito Shinya (compositeur)","Kon-K,Saito Shinya (compositeur)",
ZoNE-iT, Single,05/11/2014,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,KOTOKO,KOTOKO,"Kon-K,Saito Shinya (compositeur)","Kon-K,Saito Shinya (compositeur)",
Zone Tripper, Album,19/10/1999,,,FRICTION,,,,
ZONE Tribute ~Kimi ga Kureta Mono~, Tribute Album,10/08/2011,,Sony Music Entertainment Japan,"bump.y,ClariS (J-Pop),Hayami Saori,Nakagawa Shoko,SCANDAL,Sphere,Stereopony,TOKYO GIRLS' STYLE,Tomato n'Pine,Tomatsu Haruka,yanaginagi,ZONE","Isshiki Soran,Kusunose Takuya,Machida Norihiko,Nagase Miyu,Sakurai Shinichi,Watanabe Miki,Watanabe Natsumi (parolière),ZONE","ha-j,Haneoka Kei,Hara Kazuhiro (compositeur),KAIDO,Machida Norihiko,Sakurai Shinichi,Watanabe Miki,Yoshimatsu Takashi","Abe Yoshinori,CHOKKAKU,genepool,ha-j,KAIDO,Nagaoka Seiko,Nakamura Jin,Otsubo Naoki,Takahashi KATSU,Torajirou,Yamahara Kazuhiro",
Zone Out, Digital Single,10/11/2014,Koffee Dream Entertainment,,Dabit,,,,
Zone of the Enders, Single,23/05/2001,Lantis,King Records,LAZY (J-rock),,,,
ZONE OF GOLD [CD+DVD+GOODS], Album,15/01/2020,rhythm zone,avex Entertainment (2),Imaichi Ryuji,,,,
ZONE OF GOLD [CD+DVD], Album,15/01/2020,rhythm zone,avex Entertainment (2),Imaichi Ryuji,,,,
ZONE OF GOLD [CD+Blu-ray+GOODS], Album,15/01/2020,rhythm zone,avex Entertainment (2),Imaichi Ryuji,,,,
ZONE OF GOLD [CD+Blu-ray], Album,15/01/2020,rhythm zone,avex Entertainment (2),Imaichi Ryuji,,,,
ZONE OF GOLD, Album,15/01/2020,rhythm zone,avex Entertainment (2),Imaichi Ryuji,,,,
